ID,RA,Dec,mag_r,True_Class,Prediction_Elliptical,Prediction_Spiral,predBin_Elliptical,predBin_Spiral,Train
SPLUS.STRIPE82-0005.08390.griz,2.4606,-0.9018,16.16,Spiral,0.0009738207,0.84256923,0,1,0
SPLUS.STRIPE82-0005.08442.griz,2.207,-0.9011,16.45,Elliptical,0.99963737,0.00017148256,1,0,0
SPLUS.STRIPE82-0005.08732.griz,3.2616,-0.8872,16.4,Spiral,0.0020606518,0.76643074,0,1,0
SPLUS.STRIPE82-0005.09451.griz,2.4602,-0.8493,16.94,Elliptical,0.9984455,0.00079742074,1,0,0
SPLUS.STRIPE82-0005.10620.griz,2.6207,-0.7699,16.52,Spiral,0.00013357401,0.98792154,0,1,0
SPLUS.STRIPE82-0005.12267.griz,3.3266,0.0034,16.97,Spiral,0.0031959713,0.87665594,0,1,0
SPLUS.STRIPE82-0005.12478.griz,2.27,-0.0056,16.75,Spiral,0.00078451633,0.87593365,0,1,0
SPLUS.STRIPE82-0005.12925.griz,2.9562,-0.0317,15.95,Spiral,0.0016854405,0.98418343,0,1,0
SPLUS.STRIPE82-0005.13023.griz,3.1669,-0.0361,16.31,Spiral,0.00084427,0.9914415,0,1,0
SPLUS.STRIPE82-0005.14290.griz,2.3126,-0.6995,16.47,Spiral,0.00035363436,0.9206727,0,1,0
SPLUS.STRIPE82-0005.15141.griz,2.1515,-0.0513,16.39,Spiral,0.0008764565,0.74719244,0,1,0
SPLUS.STRIPE82-0005.15153.griz,2.6639,-0.0528,14.1,Spiral,0.00015336275,0.7071668,0,1,0
SPLUS.STRIPE82-0005.16654.griz,2.3138,-0.1302,16.81,Spiral,0.4448424,0.8677483,0,1,0
SPLUS.STRIPE82-0005.17176.griz,2.7552,-0.1624,16.94,Spiral,0.0014218688,0.7855219,0,1,0
SPLUS.STRIPE82-0005.17738.griz,2.2337,-0.1939,16.2,Elliptical,0.9994832,0.0040860474,1,0,0
SPLUS.STRIPE82-0005.18602.griz,2.5711,-0.23800000000000002,16.87,Spiral,0.00082084537,0.7538495,0,1,0
SPLUS.STRIPE82-0005.18757.griz,3.036,-0.2443,15.56,Spiral,0.0003362894,0.8397092,0,1,0
SPLUS.STRIPE82-0005.20938.griz,2.2842,-0.3536,16.4,Spiral,0.0016666949,0.99738216,0,1,0
SPLUS.STRIPE82-0005.21099.griz,2.7163,-0.3683,15.2,Spiral,0.00015804172,0.75118154,0,1,0
SPLUS.STRIPE82-0005.21881.griz,3.0253,-0.4152,13.23,Elliptical,0.99925053,0.0012549162,1,0,0
SPLUS.STRIPE82-0005.22647.griz,2.4698,-0.4465,16.49,Spiral,0.0009191036,0.9375863,0,1,0
SPLUS.STRIPE82-0005.22932.griz,2.4011,-0.4661,15.54,Spiral,0.0011883676,0.878934,0,1,0
SPLUS.STRIPE82-0005.23503.griz,2.0708,-0.4920000000000001,16.99,Spiral,0.001394242,0.9078783,0,1,0
SPLUS.STRIPE82-0005.24650.griz,2.1511,-0.5961,16.08,Spiral,0.00047385693,0.99366516,0,1,0
SPLUS.STRIPE82-0005.25500.griz,2.2677,-0.6071,16.85,Spiral,0.00015455484,0.997597,0,1,0
SPLUS.STRIPE82-0005.25770.griz,2.1993,-0.625,15.67,Spiral,0.00071159005,0.77985907,0,1,0
SPLUS.STRIPE82-0005.25828.griz,2.8718,-0.6243,16.8,Spiral,0.00034606457,0.78679305,0,1,0
SPLUS.STRIPE82-0006.00038.griz,2.2769999999999997,0.0425,15.91,Spiral,0.00048047304,0.9977804,0,1,0
SPLUS.STRIPE82-0006.00255.griz,3.1437,0.0499,15.39,Spiral,0.00031462312,0.9943879,0,1,0
SPLUS.STRIPE82-0006.00956.griz,2.2936,0.0975,16.06,Elliptical,0.26447672,0.8184937,0,1,0
SPLUS.STRIPE82-0006.01166.griz,2.3253,0.1103,16.99,Spiral,0.0012602508,0.9338685,0,1,0
SPLUS.STRIPE82-0006.01393.griz,3.377,0.127,16.62,Spiral,0.0006787777,0.8523135,0,1,0
SPLUS.STRIPE82-0006.02070.griz,2.4948,0.1605,16.6,Spiral,0.0004939735,0.8979237,0,1,0
SPLUS.STRIPE82-0006.03122.griz,3.1479,0.2318,16.36,Spiral,0.00026264787,0.9650588,0,1,0
SPLUS.STRIPE82-0006.03532.griz,3.2097,0.2635,16.05,Spiral,0.00029334426,0.992556,0,1,0
SPLUS.STRIPE82-0006.04640.griz,2.5301,0.3285,15.57,Spiral,0.00019270182,0.99753225,0,1,0
SPLUS.STRIPE82-0006.04882.griz,3.0112,0.3336,16.98,Elliptical,0.8124782,0.42552382,1,0,0
SPLUS.STRIPE82-0006.05195.griz,3.0617,0.3764,14.97,Elliptical,0.9997448,0.0004607141,1,0,0
SPLUS.STRIPE82-0006.05475.griz,2.9974,0.3709,16.12,Elliptical,0.9452443,0.12834984,1,0,0
SPLUS.STRIPE82-0006.05623.griz,2.5574,0.3855,16.82,Elliptical,0.9796178,0.008601129,1,0,0
SPLUS.STRIPE82-0006.05641.griz,3.2287,0.3821,16.56,Spiral,0.00016006827,0.9911202,0,1,0
SPLUS.STRIPE82-0006.06394.griz,2.4192,0.425,16.52,Elliptical,0.99445117,0.0022923648,1,0,0
SPLUS.STRIPE82-0006.07156.griz,2.6629,0.4746,16.53,Spiral,0.0012636483,0.88993365,0,1,0
SPLUS.STRIPE82-0006.08946.griz,2.3314,0.5992,15.53,Spiral,0.0004659593,0.8756805,0,1,0
SPLUS.STRIPE82-0006.09035.griz,3.3522,0.5856,16.86,Spiral,0.044048578,0.9537136,0,1,0
SPLUS.STRIPE82-0006.09208.griz,3.3355,0.6005,16.87,Elliptical,0.94630915,0.10292286,1,0,0
SPLUS.STRIPE82-0006.10173.griz,2.8021,0.6515,16.73,Spiral,0.0016612709,0.9481846,0,1,0
SPLUS.STRIPE82-0006.10400.griz,3.1762,0.6734,15.82,Spiral,0.0008022785,0.928506,0,1,0
SPLUS.STRIPE82-0006.12475.griz,3.4410000000000003,0.6936,15.88,Elliptical,0.9551524,0.01811871,1,0,0
SPLUS.STRIPE82-0006.12547.griz,3.2369,0.6920000000000001,16.79,Elliptical,0.98592365,0.023022532,1,0,0
SPLUS.STRIPE82-0006.12852.griz,2.523,0.6735,16.23,Spiral,0.00059875846,0.99183726,0,1,0
SPLUS.STRIPE82-0006.12867.griz,3.3712,0.6736,16.25,Elliptical,0.0001706481,0.9894241,0,1,0
SPLUS.STRIPE82-0006.13654.griz,3.3008,0.743,14.42,Elliptical,0.9998903,0.0002079308,1,0,0
SPLUS.STRIPE82-0006.15182.griz,3.1692,1.2196,16.71,Spiral,0.00015953183,0.9919104,0,1,0
SPLUS.STRIPE82-0006.18510.griz,3.302,1.041,16.44,Spiral,0.00028428435,0.9952997,0,1,0
SPLUS.STRIPE82-0006.18809.griz,3.4065,1.0218,16.74,Spiral,0.0008099079,0.9713981,0,1,0
SPLUS.STRIPE82-0006.19651.griz,2.6066,0.9722,16.24,Spiral,0.0005852878,0.81702775,0,1,0
SPLUS.STRIPE82-0006.21638.griz,3.3409,0.8613,16.5,Spiral,0.0010662675,0.9301151,0,1,0
SPLUS.STRIPE82-0006.21852.griz,2.9498,0.8347,16.43,Spiral,0.0011343062,0.97695774,0,1,0
SPLUS.STRIPE82-0006.22090.griz,3.1585,0.8304,16.33,Spiral,0.00085151196,0.9057966,0,1,0
